x,y
20,2
19,3
16,3
15,4
14,4
13,5
12,5
11,6
10,6
9,7
8,8
8,9
7,10
6,11
6,12
5,13
5,14
4,15
4,16
3,17
3,18
2,19
2,30
3,31
3,35
4,36
4,38
5,39
6,40
6,41
7,42
8,43
9,44
10,45
11,46
12,46
13,47
14,47
15,48
16,48
17,49
19,49
20,50
45,50
46,49
47,49
48,48
49,47
49,46
50,45
51,44
51,25
50,24
50,22
49,21
49,20
48,19
48,18
47,17
46,16
46,15
45,14
44,13
44,12
43,11
42,10
41,9
40,9
39,8
38,7
37,6
36,6
35,5
34,5
33,4
31,4
30,3
28,3
27,2
20,2
